DEFAULT,LOAN,MORTDUE,VALUE,YOJ,DEROG,DELINQ,NINQ,CLNO,DEBTINC
0,10700,49573,68125,2,0,0,0,10,
1,10700,122000,148000,0.7,0,0,7,29,
1,10700,34000,49756,0.9,1,0,8,8,
0,10700,67523,85560,5,0,0,0,35,26.00166533
1,10700,41144,59375,2,0,0,1,18,
0,10700,50210,64838,9,0,0,2,34,40.39623344
0,10700,54091,67661,27,0,2,0,24,38.58937235
0,10700,147477,181050,6,0,0,1,55,34.69816239
0,10700,115118,124198,6,1,0,0,19,31.75799058
0,10700,110789,126781,6,0,1,0,19,31.88893638
0,10700,51224,70399,5,,,,23,42.93929441
0,10700,67065,96171,9,0,0,3,28,41.58720119
0,10700,29569,47842,12,,1,7,28,36.78458201
0,10800,199000,226000,11,0,0,0,22,
1,10800,64305,107374,9,0,0,0,36,36.99638566
0,10800,98568,121994,15,0,0,0,16,33.65829222
0,10800,32870,61572,,,,,,38.49024696
1,10800,35602,73077,,0,1,1,20,53.58488301
0,10800,11950,46780,24,0,0,0,20,
0,10800,70214,83882,4,1,2,3,30,38.58882359
0,10800,49254,80527,2,0,2,0,13,29.55158314
0,10800,44355,57742,20,0,1,0,22,38.04276786
0,10800,125732,184667,7,0,0,0,19,33.92078997
0,10800,31149,67239,,,,,,35.26543738
0,10800,80203,98731,4,0,0,2,31,41.47407381
0,10800,64181,70996,4,0,0,2,17,33.22779359
1,10800,57892,78900,15,0,3,1,14,
0,10800,,,,,,,,
1,10800,75000,87400,7,1,0,2,19,
1,10800,52600,66700,2,0,0,5,26,
0,10800,75378,86060,6,0,0,0,23,30.09500969
0,10800,67740,108135,11,0,0,1,12,38.38349838
1,10800,194485,228670,1,0,0,,4,28.37013088
0,10800,56477,94980,17,0,0,0,28,25.21073966
0,10800,78898,86567,9,0,0,0,12,40.29195198
0,10800,59469,69834,3,0,0,0,9,34.09578509
0,10800,61791,78361,5,0,0,2,15,28.08852465
1,10800,24182,39750,2,0,0,0,36,
0,10800,,49495,5,,,,8,21.07999894
0,10800,83441,92148,5,0,0,1,26,40.97863532
0,10800,49953,75322,0,0,0,8,21,23.87594619
0,10800,67171,82138,2,0,0,0,6,38.8031464
0,10800,13365,66979,9,2,1,1,22,16.48162968
0,10800,89139,122571,8,,,,,40.78052715
0,10800,42191,57224,15,0,0,0,11,30.51822975
0,10800,61767,72668,15,0,0,3,32,37.91433471
1,10900,86754,110000,13,0,2,0,19,
0,10900,57494,66704,6,,,,24,39.51098574
0,10900,,76207,,,,,,22.3926116
0,10900,49406,83074,1,0,1,0,13,30.12455569
0,10900,22513,52355,1,0,0,0,10,39.20462501
1,10900,,16365,,0,0,1,2,24.19590363
0,10900,,66691,,0,0,0,7,34.34334852
0,10900,17282,70783,19,0,1,0,11,23.61012437
0,10900,56793,68825,3,0,0,0,9,34.72787519
0,10900,25061,35792,3,,,,,37.10471224
0,10900,51990,76918,0,0,1,0,12,29.55540653
0,10900,59029,76120,2,0,0,0,10,36.02568383
0,10900,116030,125179,6,0,0,0,19,33.84909254
0,10900,45028,61014,10,0,0,0,23,35.66764597
1,10900,49352,56529,7,0,1,2,23,36.17495524
0,11000,14046,34777,5,0,0,0,11,22.44794332
0,11000,88252,112567,11,0,0,2,15,39.52685236
0,11000,52602,61496,13,0,0,0,22,37.69910859
1,11000,60513,110485,3,1,1,1,17,40.03139332
0,11000,76958,88607,9,0,0,0,12,39.21677518
0,11000,21738,86586,20,0,0,0,10,25.21859995
0,11000,77929,102942,8,0,0,0,34,33.89777255
0,11000,89275,108653,15,0,0,2,15,37.74304708
0,11000,57554,68222,14,0,0,3,32,36.5693479
0,11000,21780,85505,19,0,0,0,10,24.40433511
0,11000,63314,69285,15,0,0,3,32,36.54257022
0,11000,48538,63805,9,0,0,0,22,38.0261511
0,11000,50716,61492,3,0,1,0,20,38.25586202
1,11000,77517,86214,2,2,0,0,28,28.03021421
0,11000,56795,70014,3,0,1,0,10,33.59617086
1,11000,45000,63775,14,0,0,0,18,
1,11000,49000,66922,11,0,2,3,32,
0,11000,108095,137000,3,0,0,1,46,
0,11000,15129,29375,6,0,1,0,17,
0,11000,74596,98000,6,0,0,1,27,
0,11000,85149,106820,10,0,0,0,25,
0,11000,102000,120000,3,0,0,1,26,
0,11000,63847,86500,26,0,0,2,14,
1,11000,54100,70438,2,3,1,1,25,
1,11000,66400,81500,9.5,0,0,0,65,
0,11000,63975,235000,4,5,0,1,17,
0,11000,53700,68000,6,0,0,0,13,
0,11000,62227,81250,9,0,5,3,34,
0,11000,41000,63450,2.9,,,,,
1,11000,122751,140000,5,0,0,2,30,
1,11000,85474,118125,2.5,2,0,1,9,
0,11000,131949,165096,5,0,0,0,42,26.90476645
0,11000,116361,143318,15,,1,1,32,30.03284549
0,11000,54641,65705,5,0,0,0,10,33.29962839
0,11000,85758,108661,11,0,0,0,24,29.43486714
0,11000,60123,74887,3,0,1,2,16,37.68016976
0,11000,43614,60831,3,0,2,0,20,36.67364815
0,11000,83639,98081,10,0,0,4,22,42.53968571
0,11000,50178,64427,5,0,0,1,11,28.68992836
0,11000,77723,107245,5,0,0,0,26,26.91192966
0,11000,46093,60563,4,0,0,1,21,29.57814813
1,11000,85008,73223,7,0,2,0,23,41.44105202
0,11000,106762,123138,2,0,0,0,25,32.80374334
0,11000,92521,110704,13,0,0,2,16,39.25043329
1,11000,49000,68000,2,2,3,3,15,
0,11000,,56851,10,0,0,2,13,31.07561658
0,11000,48893,113223,7,0,1,0,9,22.00337641
0,11100,47689,52910,21,1,1,1,18,34.94707658
0,11100,59232,71157,5,,,,24,40.09183182
0,11100,,50262,5,,,,8,22.95686376
1,11100,52028,77316,,0,2,1,12,30.79767437
0,11100,79226,88112,10,0,1,1,12,40.67090473
0,11100,72402,86584,8,0,0,0,22,29.6557132
0,11100,17430,68499,20,0,2,1,12,21.75864261
1,11100,,26400,8,0,0,2,0,
0,11100,82849,113913,10,0,1,0,27,35.76333348
0,11100,27861,47737,8,0,0,0,4,34.05094936
0,11100,82329,100139,5,0,0,0,26,26.0992587
0,11100,80922,95105,3,0,0,2,31,38.12081058
0,11100,,67005,,0,0,0,7,36.67473432
1,11100,68784,85464,2,0,0,0,14,36.04425176
0,11100,52029,71376,4,0,1,2,16,38.48364845
0,11100,61856,77275,4,0,1,1,16,36.56411956
0,11100,105226,122901,3,0,0,1,26,33.89664298
0,11100,53232,86703,16,0,0,0,29,26.87488997
1,11100,52900,91741,,1,1,,8,40.76145307
0,11100,75392,89976,9,0,0,1,12,39.27188478
0,11100,31999,61406,31,0,0,0,19,20.96127294
0,11100,,,,,,,,26.23245922
0,11100,54496,71895,6,0,0,0,16,35.50677407
0,11100,56999,67427,8,0,0,0,16,35.8924361
0,11100,67366,102936,9,0,0,0,20,19.07865117
0,11100,35782,45550,8,0,0,0,3,36.15980592
0,11100,148235,182053,4,0,0,0,55,33.53872615
0,11100,48031,107561,5,0,1,0,9,24.19032663
0,11100,43167,60209,3,0,1,0,20,37.49079883
0,11100,50350,58837,6,0,0,0,10,28.79316627
0,11200,32562,47220,8,,1,7,29,38.01913505
0,11200,66868,107794,10,0,0,1,12,39.64082898
0,11200,93649,113833,13,0,0,3,16,39.12613026
0,11200,29348,87351,20,0,0,0,11,26.1296273
0,11200,44966,55114,1,0,0,1,21,37.4566221
0,11200,23181,80140,21,0,0,0,10,25.46264153
0,11200,68890,84059,12,0,0,3,36,41.4339438
0,11200,17411,86102,10,0,0,0,13,22.08919992
1,11200,114000,139200,5,0,0,1,36,
0,11200,56842,66710,6,0,0,0,17,33.8858765
1,11200,56877,65125,6,2,0,0,1,33.24121888
0,11200,62752,73003,13,0,0,3,31,38.33979805
0,11200,65508,103523,12,0,0,0,12,37.5754361
0,11200,153103,181849,6,0,0,0,55,33.99556536
1,11200,68990,81922,12,0,1,2,23,43.15987533
0,11200,,48150,3,,,,9,22.30223437
0,11200,19496,73140,20,0,1,1,12,23.37450457
0,11300,57377,75038,4,0,0,1,15,25.14027972
0,11300,124205,196124,0,0,1,0,15,40.12016832
0,11300,64437,79857,5,0,0,2,14,27.89926789
0,11300,61810,79817,6,0,0,1,14,25.52507894
0,11300,,66345,,0,0,0,6,34.60197381
0,11300,62168,80681,6,0,0,0,34,27.69452127
0,11300,56651,71353,29,1,2,1,24,38.54444186
0,11300,46120,52911,19,0,0,1,17,36.33481436
0,11300,77926,89216,6,0,0,2,26,39.46696422
0,11300,129489,195105,0,0,1,0,16,41.63401796
0,11300,54984,63958,4,0,0,1,16,28.08685484
0,11300,40752,53683,22,0,1,0,23,38.42588111
0,11300,,28600,20,0,0,0,15,39.00867302
1,11300,29000,59900,3,1,0,4,11,
1,11300,56602,71500,11,2,1,12,20,
0,11300,66814,82021,4,2,3,3,29,38.55692945
0,11300,16115,69113,22,0,2,0,12,22.16824452
0,11300,77846,101984,5,0,0,1,27,28.29873364
0,11300,114392,214523,2,0,0,1,15,26.25183034
1,11300,62568,79009,4,0,3,0,19,28.60025223
1,11300,,,,,,,,
0,11300,78902,100332,4,0,0,0,26,34.68307147
0,11300,,73121,,,,,,22.57724619
0,11300,74783,100909,5,0,0,0,34,35.94785471
0,11400,,29374,20,0,0,1,15,38.95512474
0,11400,,38246,,,0,0,10,37.65838877
0,11400,75705,90727,5,0,0,2,27,42.16992673
0,11400,66491,89553,4,0,0,0,16,31.12013265
0,11400,55965,78051,6,0,0,2,14,27.17323223
0,11400,59813,72873,13,0,0,4,31,39.35147085
0,11400,125486,195284,0,0,0,0,15,38.14306879
0,11400,43530,56600,21,0,0,0,23,39.4816629
0,11400,56789,74016,7,0,0,0,16,33.02714356
0,11400,51203,60716,2,0,0,0,20,38.23531293
0,11400,,44849,6,,,,9,23.48111664
0,11400,,27439,27,0,0,0,5,23.83011058
0,11400,28043,87684,20,1,1,0,10,25.48999451
0,11400,84380,202186,13,0,0,,7,18.84034872
0,11400,112930,144830,2,0,0,1,46,33.25107931
0,11400,84278,200480,14,0,0,,8,19.11248507
0,11400,64934,74875,3,0,0,2,16,34.34375572
0,11400,50166,61395,1,0,0,1,12,26.95045128
0,11400,52068,80643,2,0,2,0,13,29.46213408
0,11500,56720,82738,17,0,0,0,16,34.01983769
0,11500,104790,122169,16,1,0,0,16,34.08217846
0,11500,53651,87547,18,0,0,0,16,34.36865089
0,11500,116430,215014,3,0,0,0,14,26.86456847
0,11500,43945,63337,2,0,1,0,21,27.62349396
0,11500,53151,71645,7,0,0,0,16,35.85161441
0,11500,70409,89099,9,0,0,0,11,40.17443006
0,11500,61264,75647,11,0,0,3,36,39.5478827
0,11500,44097,58336,0,0,0,0,20,38.19162603
0,11500,77143,86862,8,0,1,1,12,39.44969272
1,11500,21096,38952,13,0,0,0,5,
1,11500,47597.57,75937.5,13.5,0,0,0,7,
1,11500,67000,83000,4,,,,,
1,11500,62000,83000,0,5,1,2,34,
0,11500,64371,73636,2,0,0,1,35,39.79119896
0,11500,63136,81099,3,,,,35,28.97594012
0,11500,29281,37717,15,0,0,0,9,30.70242855
0,11500,104610,118861,18,0,1,1,16,37.59695145
0,11500,,64037,,0,0,0,7,34.35573924
0,11500,59781,69864,4,0,1,0,9,31.18180135
0,11500,22758,36922,7,0,1,0,16,19.0201683
0,11600,82326,94599,0,4,0,0,3,29.89362148
0,11600,64143,78851,6,0,3,3,29,35.79580494
0,11600,92613,108515,11,0,0,3,16,39.11103947
1,11600,44623,,13,6,2,0,29,21.33465191
1,11600,57939,69774,5,0,0,0,12,72.26409333
0,11600,50433,107092,5,0,1,0,9,24.95259473
0,11600,89205,128462,10,0,0,0,21,37.52332471
0,11600,22635,33353,6,0,0,0,16,19.22387267
0,11600,35865,50000,,0,0,0,15,
1,11600,57200,72500,5,0,0,4,15,
1,11600,45917,60000,10,0,1,3,27,
0,11600,96882,118914,13,0,0,2,17,34.7577402
0,11600,28654,47042,10,,0,7,29,38.47750484
0,11600,36357,56514,31,0,0,0,19,20.1815824
0,11600,33379,51821,31,0,0,0,19,23.66108403
0,11600,64510,71105,5,0,0,1,34,43.23918712
0,11600,57436,72460,11,0,0,0,27,28.94553179
0,11600,129432,198705,0,0,0,0,16,39.96325851
0,11600,73079,101219,7,0,0,0,33,34.24962074
0,11600,,36474,,,1,0,10,37.20295356
0,11700,42151,58947,22,0,0,0,23,40.08314453
1,11700,,67940,3,3,4,1,38,
0,11700,78789,91342,5,0,0,2,27,41.9526818
0,11700,47072,85090,18,0,0,0,16,35.06486468
0,11700,95411,117927,14,0,0,1,17,34.49056413
1,11700,54085,68239,2,1,2,3,15,32.01265858
1,11700,51600,72399,15,0,1,4,20,
0,11700,52650,63646,0,1,0,1,13,27.61084406
0,11700,59932,80313,14,0,0,0,32,44.4749177
0,11700,40266,59097,,0,0,0,15,39.49702872
0,11700,,69125,,,,,,23.76683213
0,11700,84863,91737,0,4,0,0,4,30.33081149
0,11700,63724,82252,13,0,0,3,37,40.07527584
0,11700,59506,85000,3,0,0,2,4,
1,11700,69100,85000,3.8,3,0,0,22,
1,11700,62400,78000,20,0,0,2,24,
1,11700,63914,93707,7,3,0,2,51,69.48065039
0,11700,37093,62116,,,,,,37.01094877
0,11700,74783,86227,7,0,0,0,23,28.01922708
0,11700,64278,76055,12,0,0,0,26,28.43996584
0,11700,15163,74500,19,0,2,1,11,20.09078333
0,11700,56441,86987,17,0,0,0,16,33.93116342
0,11700,78157,103016,1,0,0,2,24,38.44838712
0,11700,55119,67931,4,0,0,2,16,27.61633851
0,11700,56990,83334,4,0,2,0,13,30.9986945
0,11700,101520,110617,18,0,2,1,16,38.72125945
0,11700,96532,107600,12,0,0,2,15,40.28741144
0,11700,68059,86216,3,,,,35,30.25396992
1,11800,74512,93328,4,5,0,,16,58.29598994
0,11800,118053,125325,5,0,0,0,18,33.20039733
0,11800,52104,61618,0,0,0,0,21,37.12951204
0,11800,79131,102263,5,0,0,0,34,36.07097887
1,11800,67678,108092,13,0,7,0,36,37.16268969
0,11800,,65769,,0,0,0,7,34.32727654
0,11800,21813,30436,5,0,1,0,16,19.40846123
0,11800,44944,57132,,0,0,0,14,42.81224294
0,11800,57760,65535,11,0,0,1,18,32.78348357
0,11800,65062,78004,12,0,0,0,31,43.37237282
0,11800,67336,82218,12,0,0,3,36,40.87842824
0,11800,86785,125552,11,0,0,1,22,37.88444933
0,11800,116742,137385,15,,1,1,33,30.78500359
0,11800,38825,51984,,0,0,0,14,40.88273326
0,11800,32257,59515,23,0,0,0,29,25.70127642
0,11800,,51246,11,0,0,2,13,32.50005907
0,11800,65012,91614,26,0,0,2,13,42.48851705
0,11800,53596,69786,5,,,,24,41.04775488
0,11800,98877,110250,18,0,2,1,16,36.87169942
0,11800,112146,140781,14,,0,0,32,29.9424924
0,11900,44600,63800,9,0,0,0,18,
1,11900,54867,79000,1,0,0,2,23,
0,11900,44142,54299,22,0,0,0,22,37.1549023
0,11900,56443,86913,12,0,0,0,24,38.86165697
0,11900,85486,109386,11,0,1,0,28,33.67090818
1,11900,108763,128780,8,0,0,3,21,49.41811438
0,11900,56792,64130,13,0,0,1,18,32.6657463
0,11900,,39433,,,1,0,9,35.50366426
0,11900,71000,87000,20,0,0,11,24,
0,11900,85179,122788,10,,,,,39.43073063
0,11900,41009,68211,23,0,0,0,28,28.3910393
0,11900,28329,80963,21,0,0,0,10,24.53499719
0,11900,117550,144178,15,,1,1,32,29.09998121
1,11900,58104,77870,7,0,0,1,19,
1,11900,52814,72000,12,0,0,0,20,
0,11900,34222,59948,24,0,0,1,29,25.72883738
0,11900,26601,52544,0,0,0,0,11,40.77567715
0,11900,81849,105403,5,0,1,1,34,36.50598321
1,11900,29822,48574,13,0,0,0,4,36.61115697
0,11900,201264,227295,10,0,0,0,22,33.77633696
0,11900,97506,110902,17,0,1,2,15,37.99899138
0,11900,89595,107895,9,0,0,0,24,30.30538811
1,11900,63833,,3,,,,,40.93276678
0,11900,78959,104371,1,0,0,1,23,40.02421108
0,11900,83877,208924,15,0,0,,7,18.24972192
0,11900,114329,143915,15,,1,0,32,28.97773866
0,11900,81318,105454,6,0,0,1,33,37.52575103
0,11900,61094,74842,12,0,0,0,26,29.73487407
0,12000,84172,123415,9,0,0,1,21,38.58266988
0,12000,83560,126479,8,,,,,38.92831569
0,12000,63019,74204,6,0,0,2,14,24.49043836
0,12000,41182,59947,23,0,0,0,22,37.13106416
0,12000,57371,69076,10,1,0,1,19,29.63210826
0,12000,76799,83864,8,0,0,0,22,27.17193008
0,12000,35028,55079,23,0,1,0,23,40.79745755
0,12000,30777,43157,8,,0,7,28,38.17774295
0,12000,7804,65395,8,2,0,0,21,16.81630749
0,12000,38130,68707,23,0,0,1,29,26.3012369
0,12000,15756,53079,23,0,0,0,20,29.39747822
1,12000,50581,70171,,0,2,1,12,29.84313667
0,12000,69796,93757,16,0,1,0,8,24.45938368
0,12000,102109,121229,2,0,0,0,25,34.76728889
0,12000,79844,98139,8,0,0,0,34,31.70012432
1,12000,76345,89036,8,0,0,1,19,50.17306503
0,12000,35721,52938,23,0,1,0,22,38.62702499
0,12000,72786,84595,4,2,2,3,30,38.09020903
1,12000,42000,60000,4,1,2,0,23,
1,12000,69000,92900,2,0,0,0,15,
1,12000,74427,96270,18,0,1,2,40,
1,12000,,,3,0,2,1,15,
0,12000,43000,64000,1,0,0,0,21,
0,12000,96000,135000,14,0,0,5,22,
0,12000,46000,60200,4,0,0,0,14,
0,12000,87000,101200,13,,2,1,18,
0,12000,98000,123385,10,0,0,3,32,
0,12000,76187,93100,0.5,0,0,0,23,
0,12000,73000,94900,9,3,0,1,30,
0,12000,150000,175065,7,,1,4,26,
0,12000,29600,61250,7.5,0,0,1,16,
0,12000,,63000,0,0,0,0,0,
0,12000,94000,112125,2,0,0,1,22,
0,12000,72000,106000,6,0,0,2,14,
0,12000,42482,67800,19,0,0,0,16,
0,12000,53800,80000,0.3,0,0,4,11,
0,12000,88000,118750,3,0,3,0,26,
0,12000,44000,59500,3.7,0,0,0,14,
0,12000,81000,105250,9,0,0,2,37,
0,12000,36346,54000,,0,0,2,19,
0,12000,81000,99000,20,0,0,4,24,
0,12000,64000,80000,2,0,0,3,26,
1,12000,,87000,13,,,,,
0,12000,85039,111100,0.2,1,2,1,34,
0,12000,87000,113850,11,0,0,0,12,
1,12000,,,19,0,8,0,13,
1,12000,75373,102602,6,2,0,0,21,
1,12000,36000,51900,0.1,0,0,1,10,
1,12000,114390,132800,10,0,0,0,25,
0,12000,28298,72000,8,,,2,22,
0,12000,118000,139350,2,0,0,2,17,
0,12000,87917,,12.9,0,1,0,12,
0,12000,58730,80000,10,,4,3,25,
0,12000,59099,82000,10,0,2,0,33,
0,12000,15231,42845.01,6.5,0,1,2,18,
0,12000,48786,89800,29.9,0,5,1,16,
1,12000,74265,91000,7,1,0,0,3,
1,12000,42000,58000,5,0,1,1,18,
0,12000,76674,97936,5,0,0,2,27,41.22576316
1,12000,54257,82764,14,1,1,2,31,38.94275964
0,12000,36072,62960,8,0,0,0,16,22.42300246
0,12000,97650,115931,11,0,0,1,17,34.38794397
0,12000,,67446,,0,0,0,7,37.93444341
0,12000,88210,114224,8,0,0,1,36,41.57297152
0,12000,84191,100654,0,0,0,1,20,33.77330326
0,12000,63589,75959,14,1,0,1,31,43.15970058
1,12000,,33879,,1,0,0,4,39.69469137
1,12000,48189,53969,5,0,0,0,18,65.49524315
0,12000,98428,114820,16,0,1,2,15,36.73772129
0,12100,56335,86648,17,0,0,0,17,35.12787435
0,12100,48622,83158,4,0,2,0,12,29.20449956
0,12100,58556,76724,3,0,1,1,16,37.63925293
1,12100,186062,227171,0,0,0,,4,26.990533
0,12100,13218,82386,7,0,0,0,14,18.43047238
0,12100,96439,126328,3,0,3,0,26,39.27931325
0,12100,44484,64398,3,0,0,0,20,28.80398255
1,12100,29097,72647,8,,,1,22,45.30476057
0,12100,90917,102400,11,,2,0,17,33.4537285
0,12100,50100,66410,3,0,0,0,14,28.54860369
0,12100,68941,75029,14,0,0,0,31,43.89784955
0,12100,50150,65565,4,0,0,0,13,26.64432479
0,12100,50973,74183,6,,,,24,41.12808531
1,12100,22000,38750,0.8,0,0,1,17,
0,12100,12000,33938,9,0,0,0,11,
0,12100,31400,48000,6,1,0,2,16,
1,12100,67000,79100,5,0,0,1,32,
0,12100,67927,94126,2,0,0,2,3,38.84759708
0,12100,,72731,0,0,0,0,0,0.720295007
0,12100,74594,90555,4,0,0,2,27,41.63484731
0,12100,83557,98881,6,0,0,1,26,25.78278709
0,12100,61868,66874,30,0,3,0,23,37.915021
0,12100,46152,72773,0,0,0,0,20,29.49511599
0,12100,97185,113004,13,0,0,2,15,37.71664611
0,12100,105104,144712,13,0,0,5,22,37.41377466
0,12100,71060,79744,3,,,,35,29.89415099
0,12100,85121,113744,0,0,2,0,34,33.94343772
0,12100,28193,34705,0,,,,,37.6180269
0,12100,18728,34443,9,0,0,0,10,21.58983638
0,12100,55147,72553,0,0,0,0,10,35.86772963
0,12100,48149,74539,17,0,0,0,15,23.13097189
0,12200,61929,83102,14,0,0,1,32,44.44967097
0,12200,110088,137794,3,0,0,1,46,33.51711722
0,12200,57785,72971,2,0,0,1,16,34.70964393
0,12200,67474,88473,2,0,0,3,26,29.09729879
0,12200,136866,162906,4,0,0,0,43,30.1821229
0,12200,80336,102618,2,0,0,2,19,34.40548234
1,12200,97000,109800,5,0,0,3,33,
0,12200,91000,114053,11,0,0,0,27,
0,12200,206613,232176,10,0,1,0,22,30.68943921
0,12200,45095,64736,9,0,0,0,18,31.63530262
0,12200,70722,81760,0,0,0,3,26,30.27700538
0,12200,199232,229929,11,0,0,0,21,31.3702723
0,12200,82904,125057,8,0,0,1,21,37.27313999
0,12200,61302,90873,2,0,0,1,4,39.97361316
0,12200,27118,87982,19,0,0,0,11,25.2354388
1,12200,53242,70400,14,0,0,0,18,34.62942766
0,12200,57112,76050,1,0,0,0,9,35.11318533
0,12200,90154,110479,9,0,0,2,37,43.1890315
0,12200,86775,111572,0,1,1,1,33,34.35180836
0,12300,79838,85209,8,0,0,0,11,37.8244708
0,12300,114035,137208,15,,1,0,33,32.05607229
0,12300,89333,106107,19,0,0,3,24,28.77470213
1,12300,24552,48278,0,0,0,0,16,29.29955094
0,12300,61253,85825,5,0,0,0,34,27.20337824
0,12300,152107,179793,7,,1,3,25,43.13409505
0,12300,48866,73023,11,3,1,1,29,32.87687074
1,12300,48238,66603,6,0,1,1,11,40.01910455
0,12300,112373,136202,16,,1,0,32,30.48826811
0,12300,69499,104045,8,0,0,0,20,18.58475695
0,12300,60200,77079,13,0,0,1,32,45.39416855
0,12300,,50530,5,,,,9,20.02628441
1,12300,78000,101200,0.4,0,0,1,19,
1,12300,50230,70000,1,0,,2,20,
1,12300,49800,64000,23,0,2,3,17,
1,12300,77000,94000,41,,4,4,17,
0,12300,114457,144284,1,0,0,0,45,32.4971451
0,12300,52622,64407,0,0,0,1,13,26.20306729
0,12300,152274,177940,4,0,0,0,56,33.72276915
0,12300,27859,48393,10,0,0,0,3,34.38536707
0,12300,90006,121122,9,0,0,1,21,36.91048167
0,12300,159798,177853,6,,0,4,25,41.42504139
0,12300,81590,90050,6,0,0,1,26,41.73267582
0,12300,35651,59795,22,0,0,0,23,40.66298165
0,12300,50441,56656,1,0,0,0,21,35.45260742
0,12300,33061,46277,8,,1,7,28,39.70178286
0,12300,102908,124217,9,0,0,2,31,27.7074439
0,12300,141020,157511,4,0,1,0,43,29.58318425
0,12300,92573,119325,2,1,2,0,33,34.77510251
1,12300,73099,84250,4,,,,,40.22228314
1,12300,11300,39000,,5,1,3,21,
0,12300,68024,78800,7,0,0,0,35,29.29334435
1,12300,64265,90956,10,0,1,0,32,32.90882386
0,12400,132894,198168,0,0,1,0,16,40.54029537
0,12400,31303,57444,29,0,0,0,18,20.20590752
0,12400,80510,97548,1,0,0,1,19,36.45734993
0,12400,137927,160566,6,0,1,0,42,29.27255681
1,12400,45604,65501,9,0,1,1,24,35.21218126
0,12400,26768,52411,0,0,0,0,11,38.82102132
0,12400,203902,234454,9,0,0,0,22,33.64852105
0,12400,16375,36672,8,0,0,0,11,24.08943715
0,12400,49264,57923,0,0,0,2,13,27.00877688
0,12400,36034,62953,9,0,0,0,16,21.34522735
0,12400,,69350,0,0,0,0,0,2.365195413
1,12400,94000,112000,4,0,0,0,0,
0,12400,115902,146813,1,0,0,0,45,33.05428433
0,12400,115004,144760,2,0,0,1,46,35.61473143
1,12400,57105,74582,12,0,0,0,20,36.92573641
0,12400,34055,40739,9,,0,6,29,39.93094736
1,12400,50573,84008,15,1,0,0,7,41.02796675
0,12400,,65317,,0,0,0,6,35.71441843
0,12400,25805,31414,2,,,,,38.2372256
0,12400,24769,87665,21,0,0,0,11,25.33220131
0,12400,83018,96637,2,0,0,2,32,41.24477919
0,12500,93538,118369,0,0,1,0,33,34.83386481
0,12500,37562,57081,22,0,1,0,23,39.08300244
1,12500,69117,101503,13,0,7,0,36,36.75998466
0,12500,157312,181050,7,,0,4,25,40.90561976
0,12500,10035,61897,6,1,1,0,21,14.73359483
0,12500,83276,129116,7,0,0,0,22,39.58996183
0,12500,57294,66615,3,0,1,0,9,31.38089909
0,12500,101047,118913,2,0,0,1,22,35.89928784
0,12500,56960,69014,4,0,0,0,10,30.36248382
0,12500,83924,100114,0,0,0,1,20,34.71276881
0,12500,79900,94660,19,0,0,10,24,35.80049203
0,12500,,52026,6,,,,8,21.6211951
1,12500,41000,64680,2,0,0,3,30,
1,12500,41301,60000,2,0,0,0,12,
1,12500,55000,75393,0.75,0,1,1,16,
0,12500,77100,90550,,0,0,1,26,
0,12500,71582,93400,6,3,0,1,21,
1,12500,53060,67500,16,0,5,0,15,
1,12500,69192,105300,4,0,0,1,23,
1,12500,62000,102600,10,2,6,4,42,
0,12500,50097,73846,1,0,0,0,20,29.15960949
0,12500,77792,100812,10,2,0,1,29,27.38587324
0,12500,53354,79893,10,2,0,1,29,35.02088579
0,12500,66163,83727,4,1,2,3,30,36.77463995
0,12500,81865,101048,1,0,0,0,23,38.85516272
0,12500,17659,31843,7,0,1,0,16,19.30085445
0,12500,55228,66569,3,0,0,1,17,27.99687276
0,12500,77937,89710,19,0,0,10,24,35.95199865
0,12500,26286,36002,2,,,,,38.43868186
0,12500,,39200,0,0,0,1,9,
0,12500,56791,72974,29,0,3,0,24,35.69162282
0,12500,,,,,,,,27.35264423
0,12600,71370,90316,26,0,0,2,14,39.8754838
0,12600,84933,110253,8,0,0,1,37,40.84507779
0,12600,80612,93802,5,0,0,2,26,40.74903888
1,12600,68800,86000,3,2,1,8,26,
1,12600,41169.82,57000,5.5,1,0,10,18,
0,12600,83921,90876,3,0,0,1,32,41.47300108
0,12600,45633,77578,19,0,0,0,15,23.91561488
0,12600,103946,113900,17,0,2,1,16,36.41457282
0,12600,125688,198602,0,0,1,0,16,39.48382007
1,12600,86785,110400,0.7,1,,2,27,
1,12600,72854,86209,2,0,0,0,14,36.05148718
0,12600,67860,103426,9,0,0,0,20,18.34752939
0,12600,103960,127384,2,0,0,0,25,34.47945476
0,12600,32742,41299,10,,1,7,29,37.80266959
0,12600,25000,37882,8.8,0,0,2,12,
1,12600,48983,65000,5,1,0,7,23,
0,12600,62493,77141,13,0,0,0,26,27.0078722
0,12600,55415,74307,29,1,2,0,23,36.83774105
0,12600,58247,72189,30,0,3,0,23,35.79425984
0,12600,100590,138649,14,0,0,4,22,34.5987274
0,12600,85335,97094,2,0,0,1,32,40.84524619
0,12600,83552,107186,21,0,0,4,24,28.72301763
0,12600,37699,59874,22,0,0,0,23,38.68267604
0,12600,76002,94236,11,0,0,5,21,39.52570494
0,12600,49986,67896,3,0,0,1,17,29.26631718
0,12700,204038,230920,10,0,0,0,22,29.80162732
0,12700,79448,91004,20,0,0,10,23,34.46430215
